id,q
1,Ile godzin dziennie spędza Pan(i) korzystając z komputera w celach służbowych (praca lub nauka)?
2,Ile godzin dziennie spędza Pan(i) korzystając z komputera w celach prywatnych (np. rozrywka)?
3, Ile godzin dziennie korzysta Pan(i) z Internetu w celach służbowych (praca lub nauka)?
4,Ile godzin dziennie korzysta Pan(i) z Internetu w celach prywatnych (np. rozrywka)?
5,Przeglądam zasoby Internetu w celach prywatnych
6, Przeglądam zasoby Internetu w celach służbowych
7,Prowadzę konwersację poprzez Internet (czat, komunikatory itp.)
8, Korzystam z poczty e-mail w celach prywatnych
9,Korzystam z poczty e-mail w celach służbowych
10,Pracuję poprzez Internet
11,Korzystam ze specjalistycznego oprogramowania komputerowego używanego w firmie w której pracuję
12,Korzystam z oprogramowania biurowego (edytory tekstu, arkusze kalkulacyjne itp.)
13,Oglądam  filmy
14,Gram w komputerowe gry
15,Inne
16,Czy zdarza się Panu(i) spędzać w Internecie więcej czasu niż to było pierwotnie zaplanowane?
17,Czy czuje Pan(i) niepokój jeśli nie ma Pan(i) możliwości dostępu do Internetu lub dostęp ograniczony?
18,Czy aby uzyskać zadowolenie z korzystania z Internetu potrzebuje Pan(i) coraz większej ilości czasu przeznaczonego na tę aktywność? 
19,Czy podejmował Pan(i) próby ograniczenia ilości czasu spędzanego na korzystaniu z Internetu  które zakończyły się niepowodzeniem?
20,Czy korzysta Pan(i) z komputera w celu ucieczki od problemów życia codziennego?
21,Czy korzysta Pan(i) z Internetu w celu ucieczki od problemów życia codziennego?
22,Czy zdarzyło się Panu(i) zaniedbywać obowiązki domowe lub służbowe na rzecz czasu poświęconego na korzystanie z komputera?
23,Czy zdarzyło się Panu(i) zaniedbywać obowiązki domowe lub służbowe na rzecz czasu poświęconego na korzystanie z Internetu?
24,Czy Pana(i) zdaniem komputer zabiera czas  który powinien być przeznaczony w ciągu dnia na inne aktywności?
25,Czy Pana(i) zdaniem Internet zabiera czas  który powinien być przeznaczony w ciągu dnia na inne aktywności?
26,Czy Pana(i) zdaniem korzystanie z telefonu komórkowego zabiera czas  który powinien być przeznaczony w ciągu dnia na inne aktywności?
27,Czy posiada Pan(i) konto poczty e-mail? 
28,Czy odczuwa Pan(i) niepokój jeśli nie ma Pan(i) możliwości sprawdzenia swojej poczty e-mail?
29,Czy po otrzymaniu e-maila odczuwa Pan(i) potrzebę natychmiastowej odpowiedzi na niego?
30,Czy Pana(i) zdaniem korzystanie z e-maila ogranicza Panu(i) wolność?
31,Czy korzysta Pan(i) z telefonu komórkowego?
32,Czy czuje Pan(i) niepokój jeśli wychodząc z domu nie zabierze Pan(i) ze sobą telefonu komórkowego
33,Czy czuje się Pan(i) zaniepokojony jeśli nie ma Pan(i) możliwości odebrania dzwoniącego telefonu komórkowego lub SMS-a  który właśnie nadszedł?
34,Czy Pana(i) zdaniem korzystanie z telefonu komórkowego ogranicza Panu(i) wolność?
35,Czy korzysta Pan(i) z telefonu komórkowego w celu ucieczki od problemów życia codziennego?
36,Czy zdarzyło się Panu(i) zaniedbywać obowiązki domowe lub służbowe na rzecz czasu poświęconego na korzystanie z telefonu komórkowego?
37,Czy podejmował Pan(i) próby zawarcia nowych znajomości poprzez Internet?
38,Czy zdarzyło się Panu(i) poznać w Internecie inną osobę niż ta za którą się podawała?
39,Czy uważa Pan(i)  że łatwość zawierania nowych znajomości poprzez Internet jest zagrożeniem dla stałych związków?
40,Czy zdarzyło się w Pana(i) otoczeniu  żeby znajomość zawarta poprzez Internet była przyczyną rozpadu stałego związku?
41,Czy zdarzyło się Panu(i) wybierać rozmowę poprzez Internet z osobą znajomą zamiast osobistego kontaktu w realnym świecie?  
42,Czy zdarzyło się Panu(i) dostawać niemoralne propozycje poprzez Internet?
43,Czy spotkał Pan(i) w Internecie osobę  która Pana(i) zdaniem cierpiała na dewiację na tle seksualnym?
44,Czy uważa Pan(i)  że łatwy dostęp do treści pornograficznych umieszczanych w Internecie może zagrażać prawidłowemu rozwojowi  emocjonalnemu młodych ludzi? 
45,Czy Pana(i) zdaniem częste korzystanie jednego lub obojga partnerów ze stron o treściach pornograficznych w Internecie może zagrażać trwałości stałego związku?
46,Czy zetknął się Pan(i) w swoim otoczeniu z przypadkami uzależnienia od pornografii umieszczanej w Internecie?
47,Czy gra Pan(i) w komputerowe gry?
48,Czy po zakończeniu grania w komputerową grę walki czuje Pan(i) u siebie wzrost agresji?
49,Czy zdarzyło się Panu(i) grać w komputerowe gry kosztem czasu przeznaczonego na pracę lub naukę?
50,Czy odczuwa Pan(i) dolegliwości kręgosłupa związane z korzystaniem z komputera?
51,Czy pogorszył się Panu(i) wzrok odkąd zaczął Pan(i) korzystać z komputera?
52,Czy zaniedbuje Pan(i) aktywność fizyczną na rzecz czasu spędzonego przy komputerze?
53,Czy zauważył Pan(i) u siebie lub swoich znajomych skłonność do używania w mowie potocznej zwrotów powszechnie stosowanych w internetowych rozmowach i wiadomościach SMS?
