1, Do 1 godziny
2, Od 2 do 3 godzin  
3,Od 4 do 5 godzin  
4,Powyżej 6 godzin  
5,Tak
6,Nie
7,Trudno powiedzieć
8,Kobieta
9,Mężczyzna
10,Poniżej 19 lat  
11,Od 20 lat do 25 lat
12, Od 26 lat do 30 lat
13,Od 31 lat do 40 lat
14,Od 41 lat do 50 lat
15,Powyżej 51  
16,Miasto  
17,Wieś  
18,Inteligenckie
19,Robotnicze  
20,Chłopskie
21,inne
22,Panna/Kawaler
23,Konkubina/Konkubent
24, Mężatka/Żonaty  
25,Rozwódka/Rozwodnik  
26,Wdowa/Wdowiec
27,Poniżej 500 zł  
28,Od 501 do 1000 zł
29,Od 1001 do 2000 zł  
30,Powyżej 2001 zł
31,Student kierunku Informatyka  
32, Pracownik firmy informatycznej  
33,Dyrektor firmy informatycznej   
34,Kierownik zespołu
35,Specjalista   
36,Pracownik szeregowy   
37,0 lat
38,Do 1 roku
39,Od 2 do 5 lat
40,Od 6 do 10 lat  
41,Powyżej 11 lat  
42,brak odp
